#plotCoverage --outRawCounts
#'chr'	'start'	'end'	'SRR12991870.bam'
NC_045512.2	8276	8277	600.0
NC_045512.2	8277	8278	600.0
NC_045512.2	8278	8279	599.0
NC_045512.2	8279	8280	598.0
NC_045512.2	8280	8281	598.0
NC_045512.2	8281	8282	596.0
NC_045512.2	8282	8283	597.0
NC_045512.2	8283	8284	597.0
NC_045512.2	8284	8285	595.0
NC_045512.2	8285	8286	595.0
NC_045512.2	8286	8287	594.0
NC_045512.2	8287	8288	594.0
NC_045512.2	8288	8289	592.0
NC_045512.2	8289	8290	593.0
NC_045512.2	8290	8291	593.0
NC_045512.2	8291	8292	591.0
NC_045512.2	8292	8293	591.0
NC_045512.2	8293	8294	590.0
NC_045512.2	8294	8295	589.0
NC_045512.2	8295	8296	589.0
NC_045512.2	8296	8297	588.0
NC_045512.2	8297	8298	589.0
NC_045512.2	8298	8299	589.0
NC_045512.2	8299	8300	588.0
NC_045512.2	8300	8301	588.0
NC_045512.2	8301	8302	585.0
NC_045512.2	8302	8303	584.0
NC_045512.2	8303	8304	583.0
NC_045512.2	8304	8305	583.0
NC_045512.2	8305	8306	584.0
NC_045512.2	8306	8307	581.0
NC_045512.2	8307	8308	581.0
NC_045512.2	8308	8309	581.0
NC_045512.2	8309	8310	578.0
NC_045512.2	8310	8311	578.0
NC_045512.2	8311	8312	574.0
NC_045512.2	8312	8313	574.0
NC_045512.2	8313	8314	571.0
NC_045512.2	8314	8315	566.0
NC_045512.2	8315	8316	566.0
NC_045512.2	8316	8317	562.0
NC_045512.2	8317	8318	560.0
NC_045512.2	8318	8319	560.0
NC_045512.2	8319	8320	560.0
NC_045512.2	8320	8321	560.0
NC_045512.2	8321	8322	560.0
NC_045512.2	8322	8323	560.0
NC_045512.2	8323	8324	559.0
NC_045512.2	8324	8325	557.0
NC_045512.2	8325	8326	557.0
NC_045512.2	8326	8327	555.0
NC_045512.2	8327	8328	554.0
NC_045512.2	8328	8329	550.0
NC_045512.2	8329	8330	551.0
NC_045512.2	8330	8331	547.0
NC_045512.2	8331	8332	544.0
NC_045512.2	8332	8333	540.0
NC_045512.2	8333	8334	536.0
NC_045512.2	8334	8335	528.0
NC_045512.2	8335	8336	526.0
NC_045512.2	8336	8337	511.0
NC_045512.2	8337	8338	409.0
NC_045512.2	8338	8339	333.0
NC_045512.2	8339	8340	297.0
NC_045512.2	8340	8341	240.0
NC_045512.2	8341	8342	87.0
NC_045512.2	8342	8343	87.0
NC_045512.2	8343	8344	87.0
NC_045512.2	8344	8345	87.0
NC_045512.2	8345	8346	87.0
NC_045512.2	8346	8347	87.0
NC_045512.2	8347	8348	87.0
NC_045512.2	8348	8349	87.0
NC_045512.2	8349	8350	87.0
NC_045512.2	8350	8351	88.0
NC_045512.2	8351	8352	88.0
NC_045512.2	8352	8353	90.0
NC_045512.2	8353	8354	86.0
NC_045512.2	8354	8355	87.0
NC_045512.2	8355	8356	88.0
NC_045512.2	8356	8357	88.0
NC_045512.2	8357	8358	88.0
NC_045512.2	8358	8359	88.0
NC_045512.2	8359	8360	87.0
NC_045512.2	8360	8361	87.0
NC_045512.2	8361	8362	87.0
NC_045512.2	8362	8363	87.0
NC_045512.2	8363	8364	87.0
NC_045512.2	8364	8365	88.0
NC_045512.2	8365	8366	88.0
NC_045512.2	8366	8367	88.0
NC_045512.2	8367	8368	86.0
NC_045512.2	8368	8369	86.0
NC_045512.2	8369	8370	86.0
NC_045512.2	8370	8371	86.0
NC_045512.2	8371	8372	86.0
NC_045512.2	8372	8373	86.0
NC_045512.2	8373	8374	84.0
NC_045512.2	8374	8375	86.0
NC_045512.2	8375	8376	86.0
NC_045512.2	8376	8377	84.0
NC_045512.2	8377	8378	85.0
NC_045512.2	8378	8379	85.0
NC_045512.2	8379	8380	85.0
NC_045512.2	8380	8381	85.0
NC_045512.2	8381	8382	85.0
NC_045512.2	8382	8383	83.0
NC_045512.2	8383	8384	84.0
NC_045512.2	8384	8385	85.0
NC_045512.2	8385	8386	85.0
NC_045512.2	8386	8387	85.0
NC_045512.2	8387	8388	84.0
NC_045512.2	8388	8389	84.0
NC_045512.2	8389	8390	84.0
NC_045512.2	8390	8391	84.0
NC_045512.2	8391	8392	84.0
NC_045512.2	8392	8393	84.0
NC_045512.2	8393	8394	84.0
NC_045512.2	8394	8395	84.0
NC_045512.2	8395	8396	84.0
NC_045512.2	8396	8397	84.0
NC_045512.2	8397	8398	84.0
NC_045512.2	8398	8399	82.0
NC_045512.2	8399	8400	80.0
NC_045512.2	8400	8401	80.0
NC_045512.2	8401	8402	79.0
NC_045512.2	8402	8403	80.0
NC_045512.2	8403	8404	80.0
NC_045512.2	8404	8405	80.0
NC_045512.2	8405	8406	80.0
NC_045512.2	8406	8407	80.0
NC_045512.2	8407	8408	78.0
NC_045512.2	8408	8409	78.0
NC_045512.2	8409	8410	82.0
NC_045512.2	8410	8411	94.0
NC_045512.2	8411	8412	94.0
NC_045512.2	8412	8413	94.0
NC_045512.2	8413	8414	94.0
NC_045512.2	8414	8415	92.0
NC_045512.2	8415	8416	92.0
NC_045512.2	8416	8417	94.0
NC_045512.2	8417	8418	94.0
NC_045512.2	8418	8419	94.0
NC_045512.2	8419	8420	94.0
NC_045512.2	8420	8421	94.0
NC_045512.2	8421	8422	92.0
NC_045512.2	8422	8423	90.0
NC_045512.2	8423	8424	90.0
NC_045512.2	8424	8425	90.0
NC_045512.2	8425	8426	90.0
NC_045512.2	8426	8427	90.0
NC_045512.2	8427	8428	90.0
NC_045512.2	8428	8429	88.0
NC_045512.2	8429	8430	92.0
NC_045512.2	8430	8431	90.0
NC_045512.2	8431	8432	90.0
NC_045512.2	8432	8433	92.0
NC_045512.2	8433	8434	92.0
NC_045512.2	8434	8435	92.0
NC_045512.2	28438	28439	753.0
NC_045512.2	28439	28440	751.0
NC_045512.2	28440	28441	753.0
NC_045512.2	28441	28442	747.0
NC_045512.2	28442	28443	745.0
NC_045512.2	28443	28444	743.0
NC_045512.2	28444	28445	743.0
NC_045512.2	28445	28446	742.0
NC_045512.2	28446	28447	741.0
NC_045512.2	28447	28448	740.0
NC_045512.2	28448	28449	739.0
NC_045512.2	28449	28450	736.0
NC_045512.2	28450	28451	736.0
NC_045512.2	28451	28452	735.0
NC_045512.2	28452	28453	734.0
NC_045512.2	28453	28454	728.0
NC_045512.2	28454	28455	726.0
NC_045512.2	28455	28456	725.0
NC_045512.2	28456	28457	716.0
NC_045512.2	28457	28458	702.0
NC_045512.2	28458	28459	687.0
NC_045512.2	28459	28460	661.0
NC_045512.2	28460	28461	545.0
NC_045512.2	28461	28462	529.0
NC_045512.2	28462	28463	321.0
NC_045512.2	28463	28464	188.0
NC_045512.2	28464	28465	127.0
NC_045512.2	28465	28466	127.0
NC_045512.2	28466	28467	127.0
NC_045512.2	28467	28468	127.0
NC_045512.2	28468	28469	127.0
NC_045512.2	28469	28470	129.0
NC_045512.2	28470	28471	130.0
NC_045512.2	28471	28472	130.0
NC_045512.2	28472	28473	132.0
NC_045512.2	28473	28474	131.0
NC_045512.2	28474	28475	131.0
NC_045512.2	28475	28476	130.0
NC_045512.2	28476	28477	131.0
NC_045512.2	28477	28478	129.0
NC_045512.2	28478	28479	129.0
NC_045512.2	28479	28480	129.0
NC_045512.2	28480	28481	129.0
NC_045512.2	28481	28482	129.0
NC_045512.2	28482	28483	129.0
NC_045512.2	28483	28484	129.0
NC_045512.2	28484	28485	129.0
NC_045512.2	28485	28486	129.0
NC_045512.2	28486	28487	129.0
NC_045512.2	28487	28488	129.0
NC_045512.2	28488	28489	129.0
NC_045512.2	28489	28490	129.0
NC_045512.2	28490	28491	128.0
NC_045512.2	28491	28492	130.0
NC_045512.2	28492	28493	131.0
NC_045512.2	28493	28494	131.0
NC_045512.2	28494	28495	129.0
NC_045512.2	28495	28496	129.0
NC_045512.2	28496	28497	130.0
NC_045512.2	28497	28498	130.0
NC_045512.2	28498	28499	128.0
NC_045512.2	28499	28500	129.0
NC_045512.2	28500	28501	131.0
NC_045512.2	28501	28502	131.0
NC_045512.2	28502	28503	130.0
NC_045512.2	28503	28504	131.0
NC_045512.2	28504	28505	131.0
NC_045512.2	28505	28506	132.0
NC_045512.2	28506	28507	132.0
NC_045512.2	28507	28508	132.0
NC_045512.2	28508	28509	131.0
NC_045512.2	28509	28510	131.0
NC_045512.2	28510	28511	129.0
NC_045512.2	28511	28512	129.0
NC_045512.2	28512	28513	129.0
NC_045512.2	28513	28514	129.0
NC_045512.2	28514	28515	129.0
NC_045512.2	28515	28516	129.0
NC_045512.2	28516	28517	130.0
NC_045512.2	28517	28518	132.0
NC_045512.2	28518	28519	134.0
NC_045512.2	28519	28520	134.0
NC_045512.2	28520	28521	135.0
NC_045512.2	28521	28522	135.0
NC_045512.2	28522	28523	135.0
NC_045512.2	28523	28524	135.0
NC_045512.2	28524	28525	135.0
NC_045512.2	28525	28526	137.0
NC_045512.2	28526	28527	141.0
NC_045512.2	28527	28528	141.0
NC_045512.2	28528	28529	143.0
NC_045512.2	28529	28530	158.0
NC_045512.2	28530	28531	158.0
NC_045512.2	28531	28532	158.0
NC_045512.2	28532	28533	160.0
NC_045512.2	28533	28534	162.0
NC_045512.2	28534	28535	162.0
NC_045512.2	28535	28536	162.0
NC_045512.2	28536	28537	164.0
NC_045512.2	28537	28538	163.0
NC_045512.2	28538	28539	163.0
NC_045512.2	28539	28540	165.0
NC_045512.2	28540	28541	165.0
NC_045512.2	28541	28542	161.0
NC_045512.2	28542	28543	161.0
NC_045512.2	28543	28544	161.0
NC_045512.2	28544	28545	161.0
NC_045512.2	28545	28546	161.0
NC_045512.2	28546	28547	161.0
NC_045512.2	28547	28548	161.0
NC_045512.2	28548	28549	163.0
NC_045512.2	28549	28550	165.0
NC_045512.2	28550	28551	165.0
NC_045512.2	28551	28552	165.0
NC_045512.2	28552	28553	165.0
NC_045512.2	28553	28554	167.0
NC_045512.2	28554	28555	167.0
NC_045512.2	28555	28556	167.0
NC_045512.2	28556	28557	167.0
NC_045512.2	28557	28558	167.0
NC_045512.2	28558	28559	167.0
NC_045512.2	28559	28560	165.0
NC_045512.2	28560	28561	163.0
NC_045512.2	28561	28562	163.0
NC_045512.2	28562	28563	163.0
NC_045512.2	28563	28564	161.0
NC_045512.2	28564	28565	161.0
NC_045512.2	28565	28566	161.0
NC_045512.2	28566	28567	161.0
NC_045512.2	28567	28568	159.0
NC_045512.2	28568	28569	157.0
NC_045512.2	28569	28570	157.0
NC_045512.2	28570	28571	153.0
NC_045512.2	28571	28572	155.0
NC_045512.2	28572	28573	157.0
NC_045512.2	28573	28574	159.0
NC_045512.2	28574	28575	159.0
NC_045512.2	28575	28576	161.0
NC_045512.2	28576	28577	161.0
NC_045512.2	28577	28578	161.0
NC_045512.2	28578	28579	161.0
NC_045512.2	28579	28580	159.0
NC_045512.2	28580	28581	159.0
NC_045512.2	28581	28582	159.0
NC_045512.2	28582	28583	161.0
NC_045512.2	28583	28584	161.0
NC_045512.2	28584	28585	161.0
NC_045512.2	28585	28586	159.0
NC_045512.2	28586	28587	161.0
NC_045512.2	28587	28588	161.0
NC_045512.2	28588	28589	163.0
NC_045512.2	28589	28590	163.0
NC_045512.2	28590	28591	163.0
NC_045512.2	28591	28592	163.0
NC_045512.2	28592	28593	162.0
NC_045512.2	28593	28594	162.0
NC_045512.2	28594	28595	162.0
NC_045512.2	28595	28596	162.0
NC_045512.2	28596	28597	162.0
NC_045512.2	28597	28598	160.0
NC_045512.2	28598	28599	160.0
NC_045512.2	28599	28600	158.0
NC_045512.2	28600	28601	156.0
NC_045512.2	28601	28602	156.0
NC_045512.2	28602	28603	156.0
NC_045512.2	28603	28604	156.0
NC_045512.2	28604	28605	154.0
NC_045512.2	28605	28606	154.0
NC_045512.2	28606	28607	154.0
NC_045512.2	28607	28608	152.0
NC_045512.2	28608	28609	152.0
NC_045512.2	28609	28610	152.0
NC_045512.2	28610	28611	152.0
NC_045512.2	28611	28612	154.0
NC_045512.2	28612	28613	152.0
NC_045512.2	28613	28614	154.0
NC_045512.2	28614	28615	154.0
NC_045512.2	28615	28616	154.0
NC_045512.2	28616	28617	154.0
NC_045512.2	28617	28618	154.0
NC_045512.2	28618	28619	154.0
NC_045512.2	28619	28620	156.0
NC_045512.2	28620	28621	154.0
NC_045512.2	28621	28622	152.0
NC_045512.2	28622	28623	148.0
NC_045512.2	28623	28624	146.0
NC_045512.2	28624	28625	146.0
NC_045512.2	28625	28626	146.0
NC_045512.2	28626	28627	146.0
NC_045512.2	28627	28628	146.0
NC_045512.2	28628	28629	146.0
NC_045512.2	28629	28630	144.0
NC_045512.2	28630	28631	146.0
NC_045512.2	28631	28632	145.0
NC_045512.2	28632	28633	143.0
NC_045512.2	28633	28634	143.0
NC_045512.2	28634	28635	142.0
NC_045512.2	28635	28636	142.0
NC_045512.2	28636	28637	144.0
NC_045512.2	28637	28638	144.0
NC_045512.2	28638	28639	144.0
NC_045512.2	28639	28640	142.0
NC_045512.2	28640	28641	142.0
NC_045512.2	28641	28642	142.0
NC_045512.2	28642	28643	140.0
NC_045512.2	28643	28644	141.0
NC_045512.2	28644	28645	141.0
NC_045512.2	28645	28646	137.0
NC_045512.2	28646	28647	137.0
NC_045512.2	28647	28648	136.0
NC_045512.2	28648	28649	128.0
NC_045512.2	28649	28650	127.0
NC_045512.2	28650	28651	127.0
NC_045512.2	28651	28652	126.0
NC_045512.2	28652	28653	127.0
NC_045512.2	28653	28654	124.0
NC_045512.2	28654	28655	126.0
NC_045512.2	28655	28656	126.0
NC_045512.2	28656	28657	126.0
NC_045512.2	28657	28658	126.0
NC_045512.2	28658	28659	128.0
NC_045512.2	28659	28660	127.0
NC_045512.2	28660	28661	129.0
NC_045512.2	28661	28662	129.0
NC_045512.2	28662	28663	129.0
NC_045512.2	28663	28664	128.0
NC_045512.2	28664	28665	126.0
NC_045512.2	28665	28666	125.0
NC_045512.2	28666	28667	125.0
NC_045512.2	28667	28668	127.0
NC_045512.2	28668	28669	127.0
NC_045512.2	28669	28670	126.0
NC_045512.2	28670	28671	126.0
NC_045512.2	28671	28672	125.0
NC_045512.2	28672	28673	125.0
NC_045512.2	28673	28674	127.0
NC_045512.2	28674	28675	127.0
NC_045512.2	28675	28676	129.0
NC_045512.2	28676	28677	129.0
NC_045512.2	28677	28678	148.0
NC_045512.2	28678	28679	169.0
NC_045512.2	11327	11328	912.0
NC_045512.2	11328	11329	910.0
NC_045512.2	11329	11330	912.0
NC_045512.2	11330	11331	913.0
NC_045512.2	11331	11332	916.0
NC_045512.2	11332	11333	918.0
NC_045512.2	11333	11334	916.0
NC_045512.2	11334	11335	918.0
NC_045512.2	11335	11336	917.0
NC_045512.2	11336	11337	917.0
NC_045512.2	11337	11338	917.0
NC_045512.2	11338	11339	917.0
NC_045512.2	11339	11340	917.0
NC_045512.2	11340	11341	921.0
NC_045512.2	11341	11342	920.0
NC_045512.2	11342	11343	920.0
NC_045512.2	11343	11344	919.0
NC_045512.2	11344	11345	917.0
NC_045512.2	11345	11346	918.0
NC_045512.2	11346	11347	919.0
NC_045512.2	11347	11348	919.0
NC_045512.2	11348	11349	919.0
NC_045512.2	11349	11350	922.0
NC_045512.2	11350	11351	922.0
NC_045512.2	11351	11352	923.0
NC_045512.2	11352	11353	921.0
NC_045512.2	11353	11354	924.0
NC_045512.2	11354	11355	925.0
NC_045512.2	11355	11356	926.0
NC_045512.2	11356	11357	924.0
NC_045512.2	11357	11358	925.0
NC_045512.2	11358	11359	926.0
NC_045512.2	11359	11360	926.0
NC_045512.2	11360	11361	927.0
NC_045512.2	11361	11362	928.0
NC_045512.2	11362	11363	929.0
NC_045512.2	11363	11364	929.0
NC_045512.2	11364	11365	930.0
NC_045512.2	11365	11366	928.0
NC_045512.2	11366	11367	932.0
NC_045512.2	11367	11368	932.0
NC_045512.2	11368	11369	934.0
NC_045512.2	11369	11370	934.0
NC_045512.2	11370	11371	934.0
NC_045512.2	11371	11372	935.0
NC_045512.2	11372	11373	933.0
NC_045512.2	11373	11374	935.0
NC_045512.2	11374	11375	934.0
NC_045512.2	11375	11376	936.0
NC_045512.2	11376	11377	934.0
NC_045512.2	11377	11378	938.0
NC_045512.2	11378	11379	935.0
NC_045512.2	11379	11380	927.0
NC_045512.2	11380	11381	923.0
NC_045512.2	11381	11382	924.0
NC_045512.2	11382	11383	928.0
NC_045512.2	11383	11384	926.0
NC_045512.2	11384	11385	928.0
NC_045512.2	11385	11386	928.0
NC_045512.2	11386	11387	928.0
NC_045512.2	11387	11388	925.0
NC_045512.2	11388	11389	932.0
NC_045512.2	11389	11390	921.0
NC_045512.2	11390	11391	921.0
NC_045512.2	11391	11392	917.0
NC_045512.2	11392	11393	826.0
NC_045512.2	11393	11394	772.0
NC_045512.2	11394	11395	594.0
NC_045512.2	11395	11396	590.0
NC_045512.2	11396	11397	589.0
NC_045512.2	11397	11398	588.0
NC_045512.2	11398	11399	588.0
NC_045512.2	11399	11400	587.0
NC_045512.2	11400	11401	589.0
NC_045512.2	11401	11402	589.0
NC_045512.2	11402	11403	588.0
NC_045512.2	11403	11404	588.0
NC_045512.2	11404	11405	589.0
NC_045512.2	11405	11406	588.0
NC_045512.2	11406	11407	587.0
NC_045512.2	11407	11408	587.0
NC_045512.2	11408	11409	592.0
NC_045512.2	11409	11410	588.0
NC_045512.2	11410	11411	586.0
NC_045512.2	11411	11412	587.0
NC_045512.2	11412	11413	583.0
NC_045512.2	11413	11414	584.0
NC_045512.2	11414	11415	583.0
NC_045512.2	11415	11416	586.0
NC_045512.2	11416	11417	582.0
NC_045512.2	11417	11418	581.0
NC_045512.2	11418	11419	579.0
NC_045512.2	11419	11420	582.0
NC_045512.2	11420	11421	578.0
NC_045512.2	11421	11422	574.0
NC_045512.2	11422	11423	575.0
NC_045512.2	11423	11424	578.0
NC_045512.2	11424	11425	578.0
NC_045512.2	11425	11426	578.0
NC_045512.2	11426	11427	576.0
NC_045512.2	11427	11428	576.0
NC_045512.2	11428	11429	576.0
NC_045512.2	11429	11430	576.0
NC_045512.2	11430	11431	579.0
NC_045512.2	11431	11432	576.0
NC_045512.2	11432	11433	573.0
NC_045512.2	11433	11434	572.0
NC_045512.2	11434	11435	571.0
NC_045512.2	11435	11436	577.0
NC_045512.2	11436	11437	571.0
NC_045512.2	11437	11438	565.0
NC_045512.2	11438	11439	572.0
NC_045512.2	11439	11440	578.0
NC_045512.2	11440	11441	629.0
NC_045512.2	11441	11442	640.0
NC_045512.2	11442	11443	641.0
NC_045512.2	11443	11444	667.0
NC_045512.2	11444	11445	665.0
NC_045512.2	11445	11446	663.0
NC_045512.2	11446	11447	663.0
NC_045512.2	11447	11448	659.0
NC_045512.2	11448	11449	657.0
NC_045512.2	11449	11450	651.0
NC_045512.2	11450	11451	655.0
NC_045512.2	11451	11452	655.0
NC_045512.2	11452	11453	657.0
NC_045512.2	11453	11454	653.0
NC_045512.2	11454	11455	645.0
NC_045512.2	11455	11456	643.0
NC_045512.2	11456	11457	641.0
NC_045512.2	11457	11458	640.0
NC_045512.2	11458	11459	640.0
NC_045512.2	11459	11460	639.0
NC_045512.2	11460	11461	639.0
NC_045512.2	11461	11462	639.0
NC_045512.2	11462	11463	637.0
NC_045512.2	11463	11464	634.0
NC_045512.2	11464	11465	632.0
NC_045512.2	11465	11466	633.0
NC_045512.2	11466	11467	637.0
NC_045512.2	11467	11468	639.0
NC_045512.2	11468	11469	633.0
NC_045512.2	11469	11470	631.0
NC_045512.2	11470	11471	633.0
NC_045512.2	11471	11472	631.0
NC_045512.2	11472	11473	624.0
NC_045512.2	11473	11474	622.0
NC_045512.2	11474	11475	617.0
NC_045512.2	11475	11476	619.0
NC_045512.2	11476	11477	619.0
NC_045512.2	11477	11478	613.0
NC_045512.2	11478	11479	613.0
NC_045512.2	11479	11480	611.0
NC_045512.2	11480	11481	617.0
NC_045512.2	11481	11482	613.0
NC_045512.2	11482	11483	611.0
NC_045512.2	11483	11484	603.0
NC_045512.2	11484	11485	609.0
NC_045512.2	11485	11486	605.0
NC_045512.2	11486	11487	606.0
NC_045512.2	11487	11488	604.0
NC_045512.2	11488	11489	606.0
NC_045512.2	11489	11490	607.0
NC_045512.2	11490	11491	613.0
NC_045512.2	11491	11492	613.0
NC_045512.2	11492	11493	609.0
NC_045512.2	11493	11494	613.0
NC_045512.2	11494	11495	607.0
NC_045512.2	11495	11496	615.0
NC_045512.2	11496	11497	619.0
NC_045512.2	11497	11498	617.0
NC_045512.2	11498	11499	620.0
NC_045512.2	11499	11500	620.0
NC_045512.2	11500	11501	619.0
NC_045512.2	11501	11502	612.0
NC_045512.2	11502	11503	607.0
NC_045512.2	11503	11504	614.0
NC_045512.2	11504	11505	612.0
NC_045512.2	11505	11506	614.0
NC_045512.2	11506	11507	620.0
NC_045512.2	11507	11508	616.0
NC_045512.2	11508	11509	620.0
NC_045512.2	11509	11510	620.0
NC_045512.2	11510	11511	618.0
NC_045512.2	11511	11512	616.0
NC_045512.2	11512	11513	616.0
NC_045512.2	11513	11514	618.0
NC_045512.2	11514	11515	612.0
NC_045512.2	11515	11516	614.0
NC_045512.2	11516	11517	616.0
NC_045512.2	11517	11518	624.0
NC_045512.2	11518	11519	626.0
NC_045512.2	11519	11520	626.0
NC_045512.2	11520	11521	626.0
NC_045512.2	11521	11522	621.0
NC_045512.2	11522	11523	626.0
NC_045512.2	11523	11524	624.0
NC_045512.2	11524	11525	624.0
NC_045512.2	11525	11526	620.0
NC_045512.2	11526	11527	620.0
NC_045512.2	11527	11528	620.0
NC_045512.2	11528	11529	618.0
NC_045512.2	11529	11530	612.0
NC_045512.2	11530	11531	608.0
NC_045512.2	11531	11532	609.0
NC_045512.2	11532	11533	606.0
NC_045512.2	11533	11534	605.0
NC_045512.2	11534	11535	605.0
NC_045512.2	11535	11536	606.0
NC_045512.2	11536	11537	614.0
NC_045512.2	11537	11538	614.0
NC_045512.2	11538	11539	614.0
NC_045512.2	11539	11540	620.0
NC_045512.2	11540	11541	620.0
NC_045512.2	11541	11542	622.0
NC_045512.2	11542	11543	626.0
NC_045512.2	11543	11544	628.0
NC_045512.2	11544	11545	628.0
NC_045512.2	11545	11546	629.0
NC_045512.2	11546	11547	629.0
NC_045512.2	11547	11548	622.0
NC_045512.2	11548	11549	621.0
NC_045512.2	11549	11550	623.0
NC_045512.2	11550	11551	623.0
NC_045512.2	11551	11552	635.0
NC_045512.2	11552	11553	636.0
NC_045512.2	11553	11554	634.0
NC_045512.2	11554	11555	632.0
NC_045512.2	11555	11556	623.0
NC_045512.2	11556	11557	631.0
NC_045512.2	11557	11558	640.0
NC_045512.2	11558	11559	634.0
NC_045512.2	11559	11560	636.0
NC_045512.2	11560	11561	624.0
NC_045512.2	11561	11562	635.0
NC_045512.2	11562	11563	616.0
NC_045512.2	11563	11564	620.0
NC_045512.2	11564	11565	617.0
NC_045512.2	11565	11566	610.0
NC_045512.2	11566	11567	608.0
NC_045512.2	11567	11568	605.0
NC_045512.2	11086	11087	363.0
NC_045512.2	11087	11088	364.0
NC_045512.2	11088	11089	364.0
NC_045512.2	11089	11090	364.0
NC_045512.2	11090	11091	365.0
NC_045512.2	11091	11092	367.0
NC_045512.2	11092	11093	367.0
NC_045512.2	11093	11094	368.0
NC_045512.2	11094	11095	369.0
NC_045512.2	11095	11096	365.0
NC_045512.2	11096	11097	366.0
NC_045512.2	11097	11098	368.0
NC_045512.2	11098	11099	368.0
NC_045512.2	11099	11100	368.0
NC_045512.2	11100	11101	367.0
NC_045512.2	11101	11102	368.0
NC_045512.2	11102	11103	369.0
NC_045512.2	11103	11104	367.0
NC_045512.2	11104	11105	368.0
NC_045512.2	11105	11106	369.0
NC_045512.2	11106	11107	368.0
NC_045512.2	11107	11108	369.0
NC_045512.2	11108	11109	369.0
NC_045512.2	11109	11110	363.0
NC_045512.2	11110	11111	361.0
NC_045512.2	11111	11112	361.0
NC_045512.2	11112	11113	361.0
NC_045512.2	11113	11114	363.0
NC_045512.2	11114	11115	365.0
NC_045512.2	11115	11116	363.0
NC_045512.2	11116	11117	362.0
NC_045512.2	11117	11118	362.0
NC_045512.2	11118	11119	362.0
NC_045512.2	11119	11120	362.0
NC_045512.2	11120	11121	364.0
NC_045512.2	11121	11122	364.0
NC_045512.2	11122	11123	366.0
NC_045512.2	11123	11124	367.0
NC_045512.2	11124	11125	367.0
NC_045512.2	11125	11126	368.0
NC_045512.2	11126	11127	368.0
NC_045512.2	11127	11128	367.0
NC_045512.2	11128	11129	367.0
NC_045512.2	11129	11130	367.0
NC_045512.2	11130	11131	365.0
NC_045512.2	11131	11132	367.0
NC_045512.2	11132	11133	368.0
NC_045512.2	11133	11134	368.0
NC_045512.2	11134	11135	369.0
NC_045512.2	11135	11136	372.0
